Part Name,Brand,Detail Specification,Picture,Total,NEW,OLD,UOM,Remark,unnamed_1,unnamed_2,unnamed_3,unnamed_4
,,,,,,,,,,,,
Screw Driver (+)# 6300 2 x 100 Vessel,,Screw Driver (+)# 6300 2 x 100 Vessel,,23,23,0,Pcs,,,,,
Screw Driver (+)# 6300 1 x 75 Vessel,,Screw Driver (+)# 6300 1 x 75 Vessel,,31.0,23.0,9.0,Pcs,,,,,
Screw Driver (+)# 6900 0 x 75 Vessel,Vessel,Screw Driver (+)# 6900 0 x 75 Vessel,,30.0,13.0,17.0,Pcs,,,,,
Stubby Driver (+/-)# 2 Vessel,Vessel,Stubby Driver (+/-)# 2 Vessel,,25.0,13.0,12.0,Pcs,,,,,
Screw Driver (-)# 6300 5.5 x 75 Vessel,Vessel,Screw Driver (-)# 6300 5.5 x 75 Vessel,,27.0,0.0,27.0,Pcs,,,,,
Allen Key Set TEKIRO (W-HK08SMS 8PCS Allen Wrench Key Short 2-10MM Set),TEKIRO,Allen Key Set TEKIRO (W-HK08SMS 8PCS Allen Wrench Key Short 2-10MM Set),,27.0,8.0,19.0,Pcs,,,,,
Long Nose Pliers GOOT YP-3,GOOT,Long Nose Pliers GOOT YP-3,,22.0,3.0,19.0,Pcs,,,,,
Nippers Goot YN-3,GOOT,Nippers Goot YN-3,,10.0,4.0,6.0,Pcs,,,,,
Hand Blower (Cleaning kit Canon),CANON,Hand Blower (Cleaning kit Canon),,10.0,5.0,5.0,Pcs,,,,,
Multi Meter Sanwa CD-800,SANWA,Multi Meter Sanwa CD-800,,37.0,22.0,15.0,Pcs,,,,,
Screw Driver (+)#2 6300 2 x 250 Vessel,Vessel,Screw Driver (+)#2 6300 2 x 250 Vessel,,22.0,13.0,9.0,Pcs,,,,,
Tweezers GOOT,GOOT,Tweezers GOOT,,15.0,10.0,5.0,Pcs,,,,,
Mini Keyboard M-TECH MTK-02,M-TECH,Keyboard M-TECH MTK-08,,21.0,21.0,0.0,Pcs,,,,,
Small Blower Merk Bestway 62139 electric Pump,Bestway,Small Blower Merk Bestway 62139 electric Pump,,10.0,10.0,0.0,Pcs,,,,,
Electric Blower Merk Nankai,Nankai,Voltage :220 v ,,20.0,20.0,0.0,Pcs,,,,,
Tool Bag,Consina,Tool Bag Consina Capertee 35L Dark,,10.0,10.0,0.0,Pcs,,,,,
PaintBrush,Eterna,PaintBrush,,12.0,7.0,5.0,Pcs,,,,,
CottonSwab (Box),Casson,CottonSwab (Box),,20.0,20.0,0.0,Pcs,,,,,
CleanCloth (Kg),,CleanCloth (Kg),,5.0,5.0,0.0,Kg,,,,,
CD-R,VERBATIM,CD-R VERBATIM,,8.0,8.0,0.0,Pcs,,,,,
USB Flash Drive 256 GB(Scandisk Ultra Flair USB 3.0 Flash Drive - SDCZ73 128GB),ScanDisk,USB Flash Drive 256 GB(Scandisk Ultra Flair USB 3.0 Flash Drive - SDCZ73 128GB),,14.0,14.0,0.0,Pcs,,,,,
Scan Disk Ultra USB OTG Type-C Dual Drive Go Flashdrive 32GB ,ScanDisk,Scan Disk Ultra USB OTG Type-C Dual Drive Go Flashdrive 32GB ,,11.0,10.0,1.0,Pcs,,,,,
Tool Box Krisbow KW-0103938,Krisbow,Tool Box Krisbow KW-0103938,,7.0,0.0,7.0,Pcs,,,,,
Screw Box Krisbow Section Case S120 N 218691,Krisbow,Screw Box Krisbow Section Case S120 N 218691,,12.0,10.0,2.0,Pcs,,,,,
Spring Hook,Hozan,Spring Hook,,30.0,17.0,13.0,Pcs,,,,,
Tension Belt,Kanon,Tension Belt Kanon TK300cN,,29.0,28.0,1.0,Pcs,,,,,
Thermogun Infrared,Benetech,Infrared Thermometer Benetech,,20.0,19.0,1.0,Pcs,,,,,
Scan Disk Ultra USB OTG Type-C Dual Drive Go Flashdrive 32GB ,ScanDisk,Scan Disk Ultra USB OTG Type-C Dual Drive Go Flashdrive 32GB ,,11.0,10.0,1.0,Pcs,,,,,
Tool Box Krisbow KW-0103938,Krisbow,Tool Box Krisbow KW-0103938,,7.0,0.0,7.0,Pcs,,,,,
Screw Box Krisbow Section Case S120 N 218691,Krisbow,Screw Box Krisbow Section Case S120 N 218691,,12.0,10.0,2.0,Pcs,,,,,
Spring Hook,Hozan,Spring Hook,,30.0,17.0,13.0,Pcs,,,,,
Tension Belt,Kanon,Tension Belt Kanon TK300cN,,29.0,28.0,1.0,Pcs,,,,,
Thermogun Infrared,Benetech,Infrared Thermometer Benetech,,20.0,19.0,1.0,Pcs,,,,,
