part_number,part_name,type_of_part,20_top_usage,idccw00_country_central_warehouse,idfsltgr_fsl_tangerang,idfslboo_fsl_bogor,idfslbdo_fsl_bandung,idfslcbn_fsl_cirebon,idfslpwo_fsl_purwokerto,idfsltkg_fsl_bandar_lampung,idfslbks_fsl_bengkulu,idfsldjb_fsl_jambi,idfslpdg_fsl_padang,idfslpku_fsl_pekanbaru,idfslplm_fsl_palembang,idfslmes_fsl_medan,idfslpms_fsl_pematang_siantar,idfslbth_fsl_batam,idfslpnk_fsl_pontianak,idfslsub_fsl_surabaya,idfslsrg_fsl_semarang,idfsljog_fsl_yogyakarta,idfslmxg_fsl_malang,idfsljbr_fsl_jember,idfsldps_fsl_denpasar,idfslami_fsl_mataram,idfslkoe_fsl_kupang,idfslmdu_fsl_madiun,idfslpky_fsl_palangkaraya,idfslbdj_fsl_banjarmasin,idfslupg_fsl_makassar,idfslmdc_fsl_manado,idfslplw_fsl_palu,idfslamq_fsl_ambon,idfsldjj_fsl_jayapura,idfslbpn_fsl_balikpapan,idfslsmd_fsl_samarinda,idfslpar_fsl_parepare,idfslkdi_fsl_kendari,grand_total
Region,,,,Region 1,Region 1,Region 1,Region 2,Region 2,Region 2,Region 1,Region 3,Region 3,Region 3,Region 3,Region 3,Region 3,Region 3,Region 3,Region 3,Region 2,Region 2,Region 2,Region 2,Region 2,Region 3,Region 3,Region 1,Region 2,Region 3,Region 3,Region 3,Region 3,Region 3,Region 1,Region 1,Region 3,Region 3,Region 3,Region 3,
BH-PM7618114A,Bill Validator,Modular,Yes,48,5,6,8,5,5,5,6,6,6,7,5,7,9,8,4,7,4,5,5,7,3,5,6,5,5,5,8,6,5,17,7,6,7,4,4,261
BH-PM7629214D,Encrypting Pin Pad RKL 5,Modular,Yes,296,9,8,8,14,15,17,16,9,6,9,14,14,11,15,12,23,18,9,7,8,15,16,11,10,8,14,10,7,10,8,8,10,12,9,7,693.0
BH-PM7620084D,Encrypting Pin Pad RKL 3,Modular,Yes,468,12,10,24,8,14,11,13,9,6,12,11,17,11,9,10,19,20,9,9,11,11,10,12,20,10,14,10,10,9,6,11,10,9,9,8,872.0
BH-PM7618182K,Escrow,Modular,Yes,31,5,3,5,6,5,7,5,6,5,5,6,7,6,5,5,6,4,5,6,5,2,6,4,7,6,4,16,3,7,4,5,5,4,6,5,222.0
BH-PM7618170A,Cash Slot Assembly,Modular,Yes,105,5,3,11,4,5,7,5,6,5,3,0,12,4,4,4,21,6,5,5,7,6,5,4,6,6,6,32,7,6,4,4,6,6,4,4,333.0
BH-PM7618253E,CE Board,Modular,Yes,274,6,4,6,12,5,5,8,7,13,8,6,14,6,8,8,9,11,3,6,6,9,5,8,7,5,5,14,6,6,6,5,7,5,4,5,522.0
BH-PM7624293A,CRU UNIT (V2G),Modular,Yes,332,11,5,5,15,14,18,15,14,17,18,18,18,12,15,7,88,7,4,7,8,6,10,12,7,7,16,57,12,10,14,9,18,11,11,5,853.0
BH-PM7618253F,DE Board,Modular,Yes,314,5,6,6,10,5,6,10,8,7,8,4,6,5,5,8,51,5,7,5,6,6,8,9,8,5,4,61,7,6,6,5,12,6,4,7,641.0
HT-3842-WAB2SW,VS - Acceptance Box,Modular,Yes,75,4,5,6,6,6,4,6,5,5,5,5,7,4,13,5,6,5,4,5,4,5,5,4,5,4,4,5,4,4,4,4,4,4,4,5,150.0
BH-PM7625642B,VS - Cash Slot Assembly,Modular,Yes,34,5,4,5,4,4,3,3,5,10,7,4,3,4,4,4,7,3,6,4,4,10,5,5,4,4,6,14,5,6,5,5,6,5,4,4,215.0
BH-PM7625638A,VS - CE Board,Modular,Yes,176,6,5,8,4,12,7,6,8,6,6,5,6,6,5,5,18,4,7,6,6,7,5,5,7,9,6,6,8,3,7,5,5,5,10,6,406.0
BH-PM7628997C,VS - External Transport,Modular,Yes,53,4,5,4,2,4,3,5,5,5,8,5,5,3,5,6,25,4,7,5,6,6,4,5,5,5,4,33,4,3,7,5,4,6,5,4,269.0
BH-PM7625647C,VS - Lower Front Assembly,Modular,Yes,47,7,5,7,4,4,5,5,5,5,6,6,6,5,4,4,11,5,6,5,6,5,3,4,4,4,5,15,9,5,5,5,5,5,4,1,237.0
BH-PM7625644A,VS - Upper Front Assembly,Modular,Yes,47,6,6,5,4,6,5,4,5,5,8,7,9,4,5,6,11,6,4,6,5,6,4,4,7,5,7,18,4,7,5,5,5,5,5,3,254.0
BH-PM7625645F,VS - Upper Rear Assembly,Modular,Yes,40,6,8,6,2,4,4,6,6,3,10,3,6,2,4,3,21,5,8,4,7,7,4,4,6,5,6,22,3,6,4,3,6,4,4,5,247.0
BH-PM7618183E,Lower Transport,Modular,Yes,55,6,4,5,2,6,5,7,7,5,8,6,8,3,4,4,19,3,5,3,5,5,4,4,6,4,7,28,1,4,5,4,5,5,4,4,260.0
HT-3842-WRB2SB,RECYCLE BOX,Modular,Yes,31,5,5,4,6,5,5,7,5,5,7,7,9,4,7,4,5,8,6,5,4,6,4,4,6,4,5,18,4,4,4,4,5,6,4,4,226.0
BH-PM7619082J,RPR-H2,Modular,Yes,93,3,5,8,9,10,10,9,11,10,12,10,8,10,9,5,46,10,5,9,6,10,6,9,7,7,5,59,8,18,7,12,7,3,11,7,474.0
BH-PM7618171A,Upper Transport Front,Modular,Yes,26,5,4,2,5,8,5,8,7,5,4,4,6,4,4,4,24,3,7,4,8,8,4,4,4,4,5,19,3,4,7,5,6,6,6,7,239.0
BH-PM7618181A,Upper Transport Rear,Modular,Yes,101,11,4,3,4,5,9,6,6,4,7,5,15,5,3,4,57,2,5,4,6,5,9,4,4,4,5,39,4,7,5,4,5,6,5,5,377.0
BH-P1P019094A,W2LR-B3.4.CBL ASSY,Consumable Parts,Yes,260,12,7,6,6,2,4,10,5,6,20,9,7,4,7,6,24,16,4,4,2,10,5,9,7,8,10,15,7,4,7,11,4,5,4,4,531.0
BH-P2P004486B,WTS-TAPE-REEL ASSY,Consumable Parts,Yes,147,8,13,12,10,5,11,12,9,8,14,8,2,2,13,8,9,4,19,8,10,5,5,12,2,6,5,7,13,2,15,8,7,11,5,8,443.0
BH-P4P049062E,U2TRY-RBX CBL,Consumable Part,Yes,152,8,9,6,10,7,5,20,5,5,11,5,8,9,4,6,23,5,12,7,6,18,6,6,5,7,8,20,6,5,6,4,5,6,5,5,435.0
BH-P2P027051A,W2LR-B5.CBL ASSY,Baby Parts,Yes,34,13,7,6,6,6,9,7,9,6,9,5,12,6,5,7,13,5,6,7,3,10,4,6,5,11,10,7,4,6,6,10,2,4,4,4,274.0
BH-PM7615524T,WBM-GATE1-L ASSY,Baby Parts,Yes,618,6,8,5,4,3,4,4,5,5,6,5,6,6,5,11,9,6,6,5,6,9,4,5,7,10,5,11,5,8,12,12,11,4,4,4,844.0
